district,state,year,month,rain_total,rain_avg,temp_avg,soil,urban,well_depth,aquifer_type,gw_delta,gw_delta_lag1,gw_delta_lag2,rain_total_lag1,rain_total_lag2,temp_avg_lag1
Alwar,rajasthan,2024.0,8.0,408.06,13.163225806451614,27.36193548387097,1,0,200.0,1,9.852546153846156,-0.0086999999999974,-0.0268292682926869,261.64,61.47,30.358387096774194
Alwar,rajasthan,2024.0,9.0,158.48000000000002,5.282666666666668,26.852,1,0,200.0,1,21.39270557029177,9.852546153846156,-0.0086999999999974,408.06,261.64,27.36193548387097
Alwar,rajasthan,2024.0,10.0,6.26,0.2019354838709677,25.548387096774192,1,0,200.0,1,7.656551724137931,21.39270557029177,9.852546153846156,158.48000000000002,408.06,26.852
Alwar,rajasthan,2024.0,11.0,0.0,0.0,21.34133333333333,1,0,200.0,1,-1.929264162561576,7.656551724137931,21.39270557029177,6.26,158.48000000000002,25.548387096774192
Alwar,rajasthan,2024.0,12.0,20.3,0.6548387096774193,14.693225806451611,1,0,200.0,1,-2.062095099667774,-1.929264162561576,7.656551724137931,0.0,6.26,21.34133333333333
Alwar,rajasthan,2025.0,1.0,6.81,0.2196774193548387,14.462580645161289,1,0,200.0,1,-3.497198731501058,-2.062095099667774,-1.929264162561576,20.3,0.0,14.693225806451611
Alwar,rajasthan,2025.0,2.0,2.67,0.0953571428571428,19.178571428571427,1,0,200.0,1,-2.967575757575758,-3.497198731501058,-2.062095099667774,6.81,20.3,14.462580645161289
Alwar,rajasthan,2025.0,3.0,1.84,0.0593548387096774,24.371935483870967,1,0,200.0,1,-1471.6808293460924,-2.967575757575758,-3.497198731501058,2.67,6.81,19.178571428571427
Alwar,rajasthan,2025.0,4.0,0.6,0.02,31.383,1,0,200.0,1,-526.559840350877,-1471.6808293460924,-2.967575757575758,1.84,2.67,24.371935483870967
Alwar,rajasthan,2025.0,5.0,41.57,1.340967741935484,33.266129032258064,1,0,200.0,1,0.7674499999998261,-526.559840350877,-1471.6808293460924,0.6,1.84,31.383
Alwar,rajasthan,2025.0,6.0,127.4,4.246666666666667,32.914,1,0,200.0,1,0.6989351851850643,0.7674499999998261,-526.559840350877,41.57,0.6,33.266129032258064
Alwar,rajasthan,2025.0,7.0,248.1,8.003225806451614,28.76225806451613,1,0,200.0,1,1479.8349761051377,0.6989351851850643,0.7674499999998261,127.4,41.57,32.914
Alwar,rajasthan,2025.0,8.0,180.28,5.815483870967742,27.708064516129035,1,0,200.0,1,-126.56677419354844,1479.8349761051377,0.6989351851850643,248.1,127.4,28.76225806451613
Alwar,rajasthan,2025.0,9.0,114.47,3.8156666666666665,26.915666666666667,1,0,200.0,1,145.42170218894012,-126.56677419354844,1479.8349761051377,180.28,248.1,27.708064516129035
Alwar,rajasthan,2025.0,10.0,58.82,1.8974193548387093,23.40741935483871,1,0,200.0,1,173.6536203917051,145.42170218894012,-126.56677419354844,114.47,180.28,26.915666666666667
Alwar,rajasthan,2025.0,11.0,0.5,0.0166666666666666,18.761000000000003,1,0,200.0,1,-1610.7247811059908,173.6536203917051,145.42170218894012,58.82,114.47,23.40741935483871
Alwar,rajasthan,2025.0,12.0,0.0,0.0,16.43903225806452,1,0,200.0,1,-43.779610389610525,-1610.7247811059908,173.6536203917051,0.5,58.82,18.761000000000003
Ambedkar nagar,uttar pradesh,2023.0,6.0,84.87,2.829,36.09633333333333,1,0,55.0,1,-0.1838695652173907,-0.2713804347826087,-9.81575,45.04,32.89,32.55806451612903
Ambedkar nagar,uttar pradesh,2023.0,7.0,237.84,7.67225806451613,30.786129032258064,1,0,55.0,1,0.0179999999999997,-0.1838695652173907,-0.2713804347826087,84.87,45.04,36.09633333333333
Ambedkar nagar,uttar pradesh,2023.0,8.0,256.67,8.279677419354838,28.71161290322581,1,0,55.0,1,-0.0631290322580646,0.0179999999999997,-0.1838695652173907,237.84,84.87,30.786129032258064
